,SO2,NO2,CO,O3,PM10,PM2.5,CO_model,NO2_model,SO2_model,O3_model,PM2.5_model,PM10_model
2021-10-16 03:00:00,0.6,3.9,180.0,64.3,1.5,-1.0,293.9999694824219,2.507812261581421,1.3593748807907104,68.74999237060547,0.5019530653953552,0.7441405653953552
2021-10-16 04:00:00,0.5,3.3,180.0,65.1,1.0,-1.0,303.9999694824219,3.2578122615814213,1.5976561307907104,69.49999237060547,0.7773436903953552,1.2851561307907104
2021-10-16 05:00:00,0.6,5.1,170.0,55.7,1.0,-1.0,310.9999694824219,4.124999523162842,1.7148436307907104,69.49999237060547,1.0507811307907104,1.7656248807907104
2021-10-16 06:00:00,0.6,2.3,150.0,64.2,1.0,-0.5,310.9999694824219,4.124999523162842,1.6874998807907104,68.74999237060547,1.0742186307907104,1.8476561307907104
2021-10-16 07:00:00,0.5,2.2,150.0,64.7,1.0,0.0,303.9999694824219,3.3906247615814213,1.5976561307907104,67.24999237060547,0.9609374403953552,1.6796873807907104
2021-10-16 08:00:00,0.5,3.7,150.0,63.7,1.0,0.0,297.9999694824219,2.703124761581421,1.4609373807907104,67.24999237060547,0.7070311903953552,1.2460936307907104
2021-10-16 09:00:00,0.5,8.5,160.0,57.8,0.5,-1.0,290.9999694824219,2.078124761581421,1.2539061307907104,68.74999237060547,0.5019530653953552,0.8710936903953552
2021-10-16 10:00:00,0.5,10.9,170.0,53.6,0.0,-2.0,283.9999694824219,1.5234373807907104,0.9316405653953552,71.74999237060547,0.5019530653953552,0.7324218153953552
2021-10-16 11:00:00,0.6,3.6,160.0,69.5,0.0,-2.0,283.9999694824219,1.8007811307907104,1.0742186307907104,73.74999237060547,0.5019530653953552,0.7421874403953552
2021-10-16 12:00:00,0.5,3.4,160.0,74.1,1.0,-1.5,283.9999694824219,2.101562261581421,1.1953123807907104,73.74999237060547,0.5019530653953552,0.7480468153953552
2021-10-16 13:00:00,0.4,4.1,160.0,73.6,2.0,-1.0,283.9999694824219,2.406249761581421,1.2382811307907104,74.49999237060547,0.5019530653953552,0.7675780653953552
